bidNtceNo,bidNtceOrd,reNtceYn,rgstTyNm,ntceKindNm,intrbidYn,bidNtceDt,refNo,bidNtceNm,ntceInsttCd,ntceInsttNm,dminsttCd,dminsttNm,bidMethdNm,cntrctCnclsMthdNm,ntceInsttOfclNm,ntceInsttOfclTelNo,ntceInsttOfclEmailAdrs,exctvNm,bidQlfctRgstDt,cmmnSpldmdAgrmntRcptdocMethd,cmmnSpldmdAgrmntClseDt,cmmnSpldmdCorpRgnLmtYn,bidBeginDt,bidClseDt,opengDt,ntceSpecDocUrl1,ntceSpecDocUrl2,ntceSpecDocUrl3,ntceSpecDocUrl4,ntceSpecDocUrl5,ntceSpecDocUrl6,ntceSpecDocUrl7,ntceSpecDocUrl8,ntceSpecDocUrl9,ntceSpecDocUrl10,ntceSpecFileNm1,ntceSpecFileNm2,ntceSpecFileNm3,ntceSpecFileNm4,ntceSpecFileNm5,ntceSpecFileNm6,ntceSpecFileNm7,ntceSpecFileNm8,ntceSpecFileNm9,ntceSpecFileNm10,rbidPermsnYn,pqApplDocRcptMthdNm,pqApplDocRcptDt,tpEvalApplMthdNm,tpEvalApplClseDt,jntcontrctDutyRgnNm1,jntcontrctDutyRgnNm2,jntcontrctDutyRgnNm3,rgnDutyJntcontrctRt,dtlsBidYn,bidPrtcptLmtYn,prearngPrceDcsnMthdNm,totPrdprcNum,drwtPrdprcNum,asignBdgtAmt,presmptPrce,opengPlce,dcmtgOprtnDt,dcmtgOprtnPlce,bidNtceDtlUrl,bidNtceUrl,bidPrtcptFeePaymntYn,bidPrtcptFee,bidGrntymnyPaymntYn,crdtrNm,ppswGnrlSrvceYn,srvceDivNm,prdctClsfcLmtYn,mnfctYn,purchsObjPrdctList,untyNtceNo,cmmnSpldmdMethdCd,cmmnSpldmdMethdNm,stdNtceDocUrl,brffcBidprcPermsnYn,dsgntCmptYn,arsltCmptYn,pqEvalYn,tpEvalYn,ntceDscrptYn,rsrvtnPrceReMkngMthdNm,arsltApplDocRcptMthdNm,arsltReqstdocRcptDt,orderPlanUntyNo,sucsfbidLwltRate,rgstDt,bfSpecRgstNo,infoBizYn,sucsfbidMthdCd,sucsfbidMthdNm,chgDt,linkInsttNm,dminsttOfclEmailAdrs,indstrytyLmtYn,d2bMngRgnLmtYn,d2bMngPblctPlceNm,d2bMngCntrctKindNm,d2bMngCnstwkOutlnCntnts,d2bMngCnstwkPrdCntnts,d2bMngCntrybndDedtBgnDate,d2bMngCntrybndDedtEndDate,d2bMngCnstwkScleCntnts,d2bMngRsrvtnPrceBssOpenYn,d2bMngRsrvtnPrceBssAplYn,d2bMngBssamt,d2bMngUprcSstmTyNm,d2bMngRgstEvalExmpYn,d2bMngCompCorpRsrchObjYn,d2bMngOrgnlbdgtDedtBgnDate,d2bMngOrgnlbdgtDedtEndDate,d2bMngBfEvalObjYn,d2bMngBfEvalClseDt,d2bMngAssmntUplmtRt,d2bMngAssmntLwstlmtRt,d2bMngStdIndstryClsfcCdList,d2bMngPrdctnAbltySbmsnClseDt,d2bMngCnstwkLctNm,d2bMngProgrsSttusNm,d2bMngExetTyNm,d2bMngExetTyCd,d2bMngPrdlstNm,d2bMngPrdlstCd,d2bMngItemNo,d2bMngNgttnStleNm,d2bMngNgttnPlanDate,d2bMngDmndYear,d2bMngDcsnNo,d2bMngCnstwkNo,chgNtceRsn,rbidOpengDt,VAT,indutyVAT,rgnLmtBidLocplcJdgmBssCd,rgnLmtBidLocplcJdgmBssNm
20230441866,01,N,조달청 또는 나라장터 자체 공고건,취소,N,2023-05-01 10:05:19,12238126000,2023년 공공데이터 운영체계 및 품질관리 컨설팅 용역,1230121,조달청 서울지방조달청,B553457,한국문화정보원,전자입찰,제한(총액)협상에의한계약,김성경,070-4056-8895,kyoung28@korea.kr,김성경,2023-05-11 18:00,전자문서,2023-05-11 18:00:00,N,2023-05-10 10:00:00,2023-05-12 10:00:00,2023-05-12 11:00:00,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20230441866::01::1::1,,,,,,,,,,20230441866-01_1682901690013_취소공고서(2023년 공공데이터 운영체계 및 품질관리 컨설팅 용역).hwp,,,,,,,,,,N,,,,,,,,,,,비예가,,,242027300,218181818,국가종합전자조달시스템(나라장터),,,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20230441866&bidseq=01&releaseYn=Y&taskClCd=5,,,,,대한민국정부서울지방조달청장,Y,일반용역,N,,[1^8610169801^정보화교육서비스],,,공동이행,,,N,N,N,N,N,,,,,,2023-05-01 10:05:19,1281228,N,13,협상에 의한 낙찰자 결정,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,수요기관의 제안요청서 수정 요청,2023-05-12 11:00:00,21818182,,,
20230446327,00,Y,조달청 또는 나라장터 자체 공고건,일반,N,2023-04-28 09:48:00,산림빅데이터팀-1223,드론영상 빅데이터 시스템 운영 및 유지관리,1400000,산림청,1400000,산림청,전자시담,수의(총액)일반수의,박봉관,042-481-4017,bkpark1976@korea.kr,박봉관,2023-04-28 17:00,전자문서,2023-04-28 17:00:00,N,2023-04-28 16:00:00,2023-04-28 17:00:00,2023-04-28 18:00:00,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20230446327::00::C::1,,,,,,,,,,20230446327-00_1682642875738_1. 제안요청서(드론영상 빅데이터 시스템 운영 및 유지관리).hwpx,,,,,,,,,,N,,,,,,,,,,N,단일예가,1,0,72000000,65454545,국가종합전자조달시스템(나라장터),,,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20230446327&bidseq=00&releaseYn=Y&taskClCd=5,,,,,산림청,N,일반용역,,,,,,공동이행,,,N,N,N,N,N,,,,5-1-2023-1400000-000175,,2023-04-28 09:48:00,1273560,,99,기타(수기입찰),,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-28 18:00:00,6545455,,,
20230446686,00,N,조달청 또는 나라장터 자체 공고건,긴급,N,2023-04-28 14:09:29,38235025000,민간데이터 정제·적재 및 활용 사업,1230155,조달청 경남지방조달청,6480000,경상남도,전자입찰,제한(총액)협상에의한계약,정슬기,070-4056-6754,sg0923@korea.kr,정슬기,2023-05-09 18:00,공고서참조,,N,2023-05-08 10:00:00,2023-05-10 10:00:00,2023-05-10 11:00:00,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20230446686::00::1::1,,,,,,,,,,20230446686-00_1682656075728_공고서(지방_협상_대행).hwp,,,,,,,,,,N,,,,,,,,,,,비예가,,,280531820,252727273,국가종합전자조달시스템(나라장터),,,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20230446686&bidseq=00&releaseYn=Y&taskClCd=5,,,,,대한민국정부경남지방조달청장,Y,일반용역,N,,[1^8111200202^빅데이터분석서비스],,,,,,N,N,N,N,N,,,,,,2023-04-28 14:09:29,1285084,Y,13,협상에 의한 낙찰자 결정,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-10 11:00:00,25272727,,,
20230447117,00,N,조달청 또는 나라장터 자체 공고건,긴급,N,2023-04-28 15:43:44,경찰대학 2023-15,경찰대학 치안 데이터 과학 분야 학술·연구 인프라 구축 연구용역,1320082,경찰청 경찰대학,1320082,경찰청 경찰대학,전자입찰,제한(총액)협상에의한계약,김진호,041-968-2524,jh10047922@police.go.kr,김진호,2023-05-09 18:00,공고서참조,,N,2023-05-08 10:00:00,2023-05-10 10:00:00,2023-05-10 11:00:00,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20230447117::00::1::1,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20230447117::00::2::2,,,,,,,,,20230447117-00_1682664123528_입찰공고문(치안 데이터 과학분야).hwpx,20230447117-00_1682664123528_제안요청서(치안 데이터 과학 분야 학술연구 인프라 구축 용역).hwp,,,,,,,,,N,,,,,,,,,,N,비예가,,,50000000,45454545,국가종합전자조달시스템(나라장터),,,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20230447117&bidseq=00&releaseYn=Y&taskClCd=5,,,,,경찰대학 채권관리관,N,일반용역,,,,,,공동수급불허,,,N,N,N,N,N,,없음,,5-1-2023-1320082-000010,,2023-04-28 15:43:45,1285322,,13,협상에 의한 낙찰제,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-10 11:00:00,4545455,,,
20230447171,00,N,조달청 또는 나라장터 자체 공고건,일반,N,2023-04-28 16:04:09,J2023-0016,무기체계 구성품 신뢰도 검증 시험 설계를 위한  가속수명모델 데이터 베이스 구축 등 연구,B551544,국방기술품질원,B551544,국방기술품질원,전자입찰,제한(총액)협상에의한계약,김재민,055-751-5057,jaeminalty@dtaq.re.kr,김재민,2023-05-10 18:00,전자문서,2023-05-10 18:00:00,N,2023-05-03 10:00:00,2023-05-11 10:00:00,2023-05-11 11:00:00,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20230447171::00::1::1,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20230447171::00::2::2,,,,,,,,,20230447171-00_1682665375017_1. 입찰공고문.hwp,20230447171-00_1682665375017_제안요청서_수정.hwp,,,,,,,,,N,,,,,,,,,,N,비예가,,,25000000,22727273,국가종합전자조달시스템(나라장터),,,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20230447171&bidseq=00&releaseYn=Y&taskClCd=5,,,,,국방기술품질원장,N,일반용역,,,,,,공동이행,,,N,N,N,N,N,,없음,,5-1-2023-B551544-000034,,2023-04-28 16:04:09,1285557,,13,협상에 의한 낙찰제,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-11 11:00:00,2272727,,,
20230447219,00,N,조달청 또는 나라장터 자체 공고건,일반,N,2023-04-28 16:21:18,NIA2023-042호,2023 공공데이터 활용기업 실태조사,B554393,한국지능정보사회진흥원,B554393,한국지능정보사회진흥원,전자입찰,제한(총액)협상에의한계약,정재욱,053-230-1163,king99@nia.or.kr,정재욱,2023-05-08 18:00,전자문서,2023-05-08 18:00:00,N,2023-05-04 10:00:00,2023-05-09 10:00:00,2023-05-09 11:00:00,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20230447219::00::1::1,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20230447219::00::1::2,,,,,,,,,20230447219-00_1682666408197_1.입찰공고문.hwp,20230447219-00_1682666408197_2.제안요청서.hwp,,,,,,,,,N,,,,,,,,,,N,비예가,,,69917506,63561369,국가종합전자조달시스템(나라장터),,,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20230447219&bidseq=00&releaseYn=Y&taskClCd=5,,,,,한국지능정보사회진흥원,N,일반용역,,,,,,공동이행,,,N,N,N,N,N,,없음,,5-1-2023-B554393-000024,,2023-04-28 16:21:18,,,13,협상에 의한 낙찰제,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-09 11:00:00,6356137,,,
20230447320,00,N,조달청 또는 나라장터 자체 공고건,일반,N,2023-04-28 17:00:29,구미시 공고 제2023-1084호,2023년 구미시 빅데이터 분석 용역,5080000,경상북도 구미시,5080000,경상북도 구미시,직찰,일반(총액)협상에의한계약,이지희,054-480-5062,astoneaxe@korea.kr,이지희,,공고서참조,,N,,,2023-05-11 17:00:00,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20230447320::00::1::1,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20230447320::00::2::2,,,,,,,,,20230447320-00_1682668809468_공고문(2023년 구미시 빅데이터 분석 용역).hwp,20230447320-00_1682668809468_제안요청서(빅데이터분석용역).hwp,,,,,,,,,N,,,,,,,,,,N,비예가,,,80000000,72727273,구미시청 정보통신과,,,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20230447320&bidseq=00&releaseYn=Y&taskClCd=5,,,,,구미시장,N,일반용역,,,,,,공동수급불허,,,N,N,N,N,N,,,,5-1-2023-5080000-000045,,2023-04-28 17:00:29,1286236,,13,협상에 의한 낙찰제,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-11 17:00:00,7272727,,,
20230447452,00,Y,조달청 또는 나라장터 자체 공고건,일반,N,2023-04-28 17:50:52,1180000,2023년 빅데이터 활용 분석모델 개발사업,1180000,국가보훈처,1180000,국가보훈처,전자시담,수의(총액),김봉서,044-202-5332,smile8701@korea.kr,김봉서,2023-05-02 10:00,전자문서,2023-05-02 10:00:00,N,2023-05-02 11:00:00,2023-05-02 14:00:00,2023-05-02 15:00:00,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,N,단일예가,1,0,100000000,90909091,국가종합전자조달시스템(나라장터),,,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20230447452&bidseq=00&releaseYn=Y&taskClCd=5,,,,,국가보훈처,N,일반용역,,,,,,공동이행,,,N,N,N,N,N,,,,5-1-2023-1180000-000072,,2023-04-28 17:50:52,1265107,,99,기타(수기입찰),,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-02 15:00:00,9090909,,,
E012303636,00,N,연계기관 공고건,일반,N,2023-04-28 14:20:34,,정보모델 구축을 위한 데이터 수집 및 생성,B410002,한국전력공사,,경영지원부,전자입찰,일반(총액),,,,,,전자문서,,N,2023-04-28 14:20:34,2023-06-08 11:00:00,2023-06-08 12:00:00,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,471361717,온라인개찰,,,https://www.g2b.go.kr:8101/ep/tbid/serviceBidDtl.do?tbidno=20230455354&bidseq=00,http://srm.kepco.net,,,,,N,일반용역,,,,20230455354,,,,,N,N,N,N,N,,,,,,2023-04-28 18:11:09,,,05,협상에의한계약,,한국전력공사,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-08 12:00:00,,,,
20230500190,00,N,조달청 또는 나라장터 자체 공고건,일반,N,2023-05-01 11:02:41,12238129700,2023년 공공데이터 운영체계 및 품질관리 컨설팅 용역,1230121,조달청 서울지방조달청,B553457,한국문화정보원,전자입찰,제한(총액)협상에의한계약,김성경,070-4056-8895,kyoung28@korea.kr,김성경,2023-05-11 18:00,전자문서,2023-05-11 18:00:00,N,2023-05-10 10:00:00,2023-05-12 10:00:00,2023-05-12 11:00:00,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20230500190::00::1::1,,,,,,,,,,20230500190-00_1682903703143_입찰공고서(2023년 공공데이터 운영체계 및 품질관리 컨설팅 용역).hwp,,,,,,,,,,N,,,,,,,,,,,비예가,,,242027300,218181818,국가종합전자조달시스템(나라장터),,,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20230500190&bidseq=00&releaseYn=Y&taskClCd=5,,,,,대한민국정부서울지방조달청장,Y,일반용역,N,,[1^8610169801^정보화교육서비스],,,공동이행,,,N,N,N,N,N,,,,,,2023-05-01 11:02:41,1281228,N,13,협상에 의한 낙찰자 결정,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-12 11:00:00,21818182,,,
20230500216,00,N,조달청 또는 나라장터 자체 공고건,긴급,N,2023-05-01 11:55:29,국립중앙박물관 공고 제2023-10호,2023년 국립박물관 소장품 3D 데이터 구축,1371027,문화체육관광부 국립중앙박물관,1371027,문화체육관광부 국립중앙박물관,전자입찰,제한(총액)협상에의한계약,어윤택,02-2077-9053,dbsxor@korea.kr,어윤택,2023-05-23 18:00,공고서참조,,N,2023-05-22 10:00:00,2023-05-24 10:00:00,2023-05-24 11:00:00,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20230500216::00::1::1,https://www.g2b.go.kr:8081/ep/co/fileDownload.do?fileTask=NOTIFY&fileSeq=20230500216::00::1::2,,,,,,,,,20230500216-00_1682904286337_입찰공고서.hwp,20230500216-00_1682904286337_제안요청서_2023년도 국립박물관 소장품 3D 데이터 구축_최종.hwp,,,,,,,,,N,,,,,,,,,,N,비예가,,,70000000,63636364,국가종합전자조달시스템(나라장터),,,https://www.g2b.go.kr:8081/ep/invitation/publish/bidInfoDtl.do?bidno=20230500216&bidseq=00&releaseYn=Y&taskClCd=5,,,,,국립중앙박물관장,N,일반용역,,,,,,공동수급불허,,,N,N,N,N,N,,없음,,5-1-2023-1371027-000022,,2023-05-01 11:55:30,1282930,,13,협상에 의한 낙찰제,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-24 11:00:00,6363636,,,
